code,name,description,category,url,public-database
AD-COA,,,AD,https://gov-id-finder.codeforiati.org/countries/AD/,False
AE-ACCI,,,AE,https://www.ajmanchamber.ae/en/Pages/default.aspx,False
AE-ADCD,,,AE,http://www.abudhabichamber.ae/English/E-Services/Pages/EServices-Page.aspx?sm=1&ty=s,False
AE-AFZ,,,AE,http://www.afz.gov.ae/,False
AE-COA,,,AE,https://gov-id-finder.codeforiati.org/countries/AE/,False
AE-DCCI,,,AE,http://www.dcciinfo.com/,False
AE-DFSA,,,AE,https://www.dfsa.ae/Public-Register/Firm,False
AE-DIFC,,,AE,https://www.difc.ae/public-register,False
AE-DMCC,,,AE,https://www.dmcc.ae/,False
AE-FCCI,,,AE,http://www.fujcci.ae/,False
AE-FFZ,,,AE,http://www.fujairahfreetradezone.com/appdir/company-listing.php,False
AE-HFZA,,,AE,http://www.hfza.ae/en-us/directory.aspx,False
AE-RAKIA,,,AE,https://www.rakez.com,False
AE-RK_CR,,,AE,http://www.rakchamber.ae/,False
AE-SAIF,,,AE,http://www.saif-zone.com/en/InvestorLounge/Pages/Investors.aspx,False
AE-SCCI,,,AE,http://www.sharjah.gov.ae/BusinessDirectory,False
AE-UQCCI,,,AE,http://www.uaqchamber.ae/,False
AF-CBR,,,AF,http://acbr.gov.af/,True
AF-COA,,,AF,http://www.budgetmof.gov.af/index.php/en/84-budget-execution-directorate/124-chart-of-accounts,True
AF-MOE,,,AF,http://moec.gov.af/en,False
AF-TIN,,,AF,https://www.acbrip.gov.af/companyverification/,True
AG-COA,,,AG,https://gov-id-finder.codeforiati.org/countries/AG/,False
AI-COA,,,AI,https://gov-id-finder.codeforiati.org/countries/AI/,False
AL-COA,,,AL,https://gov-id-finder.codeforiati.org/countries/AL/,False
AL-QKB,,,AL,http://www.qkr.gov.al,True
AM-COA,,,AM,https://gov-id-finder.codeforiati.org/countries/AM/,True
AM-SRALE,,,AM,https://www.e-register.am/,True
AO-COA,,,AO,https://gov-id-finder.codeforiati.org/countries/AO/,False
AQ-COA,,,AQ,https://gov-id-finder.codeforiati.org/countries/AQ/,False
AR-CENOC,,,AR,http://www.cenoc.gob.ar/,True
AR-COA,,,AR,https://gov-id-finder.codeforiati.org/countries/AR/,False
AR-CUIT,,,AR,,False
AS-COA,,,AS,https://gov-id-finder.codeforiati.org/countries/AS/,False
AT-COA,,,AT,https://gov-id-finder.codeforiati.org/countries/AT/,False
AT-FB,,,AT,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html,True
AT-UID,,,AT,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html,True
AT-ZVR,,,AT,https://www.bmi.gv.at/609/zvr.aspx,True
AU-ABN,,,AU,http://abr.business.gov.au/,False
AU-ACNC,,,AU,http://www.acnc.gov.au/ACNC/,False
AU-COA,,,AU,https://gov-id-finder.codeforiati.org/countries/AU/,False
AW-COA,,,AW,https://gov-id-finder.codeforiati.org/countries/AW/,False
AX-COA,,,AX,https://gov-id-finder.codeforiati.org/countries/AX/,False
AZ-COA,,,AZ,https://gov-id-finder.codeforiati.org/countries/AZ/,False
AZ-IVI,,,AZ,https://www.e-taxes.gov.az/ebyn/commersialChecker.jsp,True
BA-COA,,,BA,https://gov-id-finder.codeforiati.org/countries/BA/,False
BB-COA,,,BB,https://gov-id-finder.codeforiati.org/countries/BB/,False
BD-COA,,,BD,https://gov-id-finder.codeforiati.org/countries/BD/,True
BD-NAB,,,BD,http://www.ngoab.gov.bd,False
BD-ROC,,,BD,http://www.roc.gov.bd/,True
BE-BCE_KBO,,,BE,http://economie.fgov.be/fr/entreprises/BCE,False
BE-COA,,,BE,https://gov-id-finder.codeforiati.org/countries/BE/,False
BE-GTCF,,,BE,http://www.juridat.be/tribunal_commerce/bruxelles/index.htm,False
BF-COA,,,BF,https://gov-id-finder.codeforiati.org/countries/BF/,True
BF-MATD,,,BF,https://www.matd.gov.bf/accueil,False
BG-COA,,,BG,https://gov-id-finder.codeforiati.org/countries/BG/,False
BG-EIK,,,BG,https://public.brra.bg/CheckUps/Verifications/VerificationPersonOrg.ra,True
BH-COA,,,BH,https://gov-id-finder.codeforiati.org/countries/BH/,False
BI-COA,,,BI,https://gov-id-finder.codeforiati.org/countries/BI/,True
BI-NIF,,,BI,https://www.obr.bi/index.php/en/,True
BJ-COA,,,BJ,https://gov-id-finder.codeforiati.org/countries/BJ/,False
BJ-IFU,,,BJ,http://www.impots.finances.gouv.bj/tout-savoir-sur-lifu/,False
BL-COA,,,BL,https://gov-id-finder.codeforiati.org/countries/BL/,False
BM-COA,,,BM,https://gov-id-finder.codeforiati.org/countries/BM/,False
BN-COA,,,BN,https://gov-id-finder.codeforiati.org/countries/BN/,False
BO-CINS,,,BO,https://www.sicoes.gob.bo/portal/clasificadores/institucional.php,True
BO-COA,,,BO,https://gov-id-finder.codeforiati.org/countries/BO/,True
BO-NIT,,,BO,,False
BQ-COA,,,BQ,https://gov-id-finder.codeforiati.org/countries/BQ/,False
BR-CNPJ,,,BR,http://cnpj.info/,True
BR-COA,,,BR,https://gov-id-finder.codeforiati.org/countries/BR/,False
BS-COA,,,BS,https://gov-id-finder.codeforiati.org/countries/BS/,False
BT-COA,,,BT,https://gov-id-finder.codeforiati.org/countries/BT/,True
BV-COA,,,BV,https://gov-id-finder.codeforiati.org/countries/BV/,False
BW-CIPA,,,BW,http://www.cipa.co.bw/,True
BW-COA,,,BW,https://gov-id-finder.codeforiati.org/countries/BW/,False
BW-TIN,,,BW,http://www.burs.org.bw/,False
BY-ADR,,,BY,http://egr.gov.by/egrn/index.jsp?language=en,True
BY-COA,,,BY,https://gov-id-finder.codeforiati.org/countries/BY/,False
BZ-COA,,,BZ,https://gov-id-finder.codeforiati.org/countries/BZ/,False
CA-CC,,,CA,http://www.ic.gc.ca/eic/site/cd-dgc.nsf/eng/home,False
CA-COA,,,CA,https://gov-id-finder.codeforiati.org/countries/CA/,False
CA-CRA_ACR,,,CA,http://www.cra-arc.gc.ca/,False
CA-GOV,,,CA,http://open.canada.ca/data/en/dataset/22090865-f8a6-4b83-9bad-e9d61f26a821,True
CA_AB-ABT,,,CA,http://www.servicealberta.ca/Corporate_Registry.cfm,False
CA_BC-BRC_CBR,,,CA,http://www.bcregistryservices.gov.bc.ca/bcreg/corppg/index.page,False
CA_MB-MTB,,,CA,https://direct.gov.mb.ca/mbohtml/html/internet/en/mb_online.html,False
CA_NB-NWB_NOB,,,CA,https://www.pxw1.snb.ca/snb7001/e/2000/2500e.asp,False
CA_NL-NFL_TNL,,,CA,http://www.servicenl.gov.nl.ca/registries/companies.html,False
CA_NS-NVS_NVE,,,CA,http://novascotia.ca/sns/access/business/registry-joint-stock-companies.asp,False
CA_NT-NWT_TNO,,,CA,https://www.justice.gov.nt.ca/en/divisions/legal-registries-division/corporate-registries/,False
CA_NU-NNV,,,CA,http://nunavutlegalregistries.ca/cr_index_en.shtml,False
CA_ON-ONT,,,CA,https://www.ontario.ca/page/business-and-economy,False
CA_PE-PEI_IPE,,,CA,http://www.gov.pe.ca/corporations/index.php,False
CA_QC-QBC,,,CA,http://www.registreentreprises.gouv.qc.ca/,False
CA_SK-SKN,,,CA,http://www.isc.ca/CorporateRegistry/,False
CA_YT-YKT,,,CA,http://www.community.gov.yk.ca/corp/index.html,False
CC-COA,,,CC,https://gov-id-finder.codeforiati.org/countries/CC/,False
CD-COA,,,CD,https://gov-id-finder.codeforiati.org/countries/CD/,True
CD-MJDH,,,CD,http://droits-humains.gouv.cd/dh_ong_liste.html,True
CF-COA,,,CF,https://gov-id-finder.codeforiati.org/countries/CF/,True
CG-COA,,,CG,https://gov-id-finder.codeforiati.org/countries/CG/,False
CH-COA,,,CH,https://gov-id-finder.codeforiati.org/countries/CH/,False
CH-FDJP,,,CH,https://www.zefix.ch/de/search/entity/welcome,True
CH_BS-CR,,,CH,https://bs.chregister.ch/cr-portal/suche/suche.xhtml,True
CI-COA,,,CI,https://gov-id-finder.codeforiati.org/countries/CI/,True
CI-MOI,,,CI,http://interieur.gouv.ci/,False
CK-COA,,,CK,https://gov-id-finder.codeforiati.org/countries/CK/,False
CL-COA,,,CL,https://gov-id-finder.codeforiati.org/countries/CL/,False
CL-MP,,,CL,https://www.mercadopublico.cl/Home,True
CL-RUT,,,CL,http://www.chileproveedores.cl/,True
CM-COA,,,CM,https://gov-id-finder.codeforiati.org/countries/CM/,True
CM-NIU,,,CM,https://www.impots.cm/,True
CN-COA,,,CN,https://gov-id-finder.codeforiati.org/countries/CN/,False
CN-SAIC,,,CN,http://gsxt.saic.gov.cn/,False
CN-USCI,,,CN,http://ngo.mps.gov.cn/ngo/portal/toInfogs.do,True
CO-CCB,,,CO,http://www.ccb.org.co/,False
CO-COA,,,CO,https://gov-id-finder.codeforiati.org/countries/CO/,False
CO-RUE,,,CO,http://www.rues.org.co/RUES_Web/,False
CR-COA,,,CR,https://gov-id-finder.codeforiati.org/countries/CR/,False
CR-RPJ,,,CR,http://www.registronacional.go.cr/,True
CU-COA,,,CU,https://gov-id-finder.codeforiati.org/countries/CU/,False
CV-COA,,,CV,https://gov-id-finder.codeforiati.org/countries/CV/,False
CW-COA,,,CW,https://gov-id-finder.codeforiati.org/countries/CW/,False
CX-COA,,,CX,https://gov-id-finder.codeforiati.org/countries/CX/,False
CY-COA,,,CY,https://gov-id-finder.codeforiati.org/countries/CY/,False
CY-DRCOR,,,CY,https://efiling.drcor.mcit.gov.cy/DrcorPublic/Default.aspx?cultureInfo=en-AU,True
CZ-COA,,,CZ,https://gov-id-finder.codeforiati.org/countries/CZ/,False
CZ-DIC,,,CZ,http://www.kurzy.cz/dic/,True
CZ-ICO,,,CZ,http://wwwinfo.mfcr.cz/ares/ares_es.html.en,False
DE-COA,,,DE,https://gov-id-finder.codeforiati.org/countries/DE/,False
DE-CR,,,DE,https://www.handelsregister.de/rp_web/welcome.do,True
DJ-COA,,,DJ,https://gov-id-finder.codeforiati.org/countries/DJ/,False
DK-COA,,,DK,https://gov-id-finder.codeforiati.org/countries/DK/,False
DK-CVR,,,DK,https://datacvr.virk.dk/data/,False
DM-COA,,,DM,https://gov-id-finder.codeforiati.org/countries/DM/,False
DO-COA,,,DO,https://gov-id-finder.codeforiati.org/countries/DO/,False
DZ-COA,,,DZ,https://gov-id-finder.codeforiati.org/countries/DZ/,False
EC-COA,,,EC,https://gov-id-finder.codeforiati.org/countries/EC/,False
EC-RUC,,,EC,http://www.sri.gob.ec/web/guest/RUC,True
EE-COA,,,EE,https://gov-id-finder.codeforiati.org/countries/EE/,False
EE-KMKR,,,EE,http://www.rik.ee/en/e-business-register,True
EE-RIK,,,EE,http://www.rik.ee/en/e-business-register,False
EG-COA,,,EG,https://gov-id-finder.codeforiati.org/countries/EG/,False
EG-CR,,,EG,http://itda.gov.eg/,True
EG-MOSS,,,EG,http://www.moss.gov.eg/,False
EH-COA,,,EH,https://gov-id-finder.codeforiati.org/countries/EH/,False
ER-COA,,,ER,https://gov-id-finder.codeforiati.org/countries/ER/,False
ES-COA,,,ES,https://gov-id-finder.codeforiati.org/countries/ES/,False
ES-DIR3,,,ES,http://administracionelectronica.gob.es/ctt/dir3/descargas,False
ES-MDJ,,,ES,https://www.mjusticia.gob.es/ca/ciudadania/registros,True
ES-NIF,,,ES,http://www.agenciatributaria.es/AEAT.internet/en_gb/Inicio/La_Agencia_Tributaria/Campanas/Censos__NIF_y_domicilio_fiscal/Empresas_y_profesionales__Declaracion_censal__Modelos_036_y_037/Informacion/NIF_de_personas_juridicas_y_entidades.shtml,False
ES-RMC,,,ES,http://www.rmc.es/Home.aspx,True
ET-COA,,,ET,https://gov-id-finder.codeforiati.org/countries/ET/,True
ET-CSA,,,ET,http://www.chsa.gov.et/,False
ET-MFA,,,ET,http://www.mfa.gov.et/,False
ET-MOT,,,ET,http://www.mot.gov.et,False
FI-COA,,,FI,https://gov-id-finder.codeforiati.org/countries/FI/,False
FI-PRO,,,FI,http://www.prh.fi/en/index.html,True
FI-VERO,,,FI,https://www.ytj.fi/en/index/vatnumber.html,True
FJ-COA,,,FJ,https://gov-id-finder.codeforiati.org/countries/FJ/,False
FK-COA,,,FK,https://gov-id-finder.codeforiati.org/countries/FK/,False
FM-COA,,,FM,https://gov-id-finder.codeforiati.org/countries/FM/,False
FO-COA,,,FO,https://gov-id-finder.codeforiati.org/countries/FO/,False
FR-COA,,,FR,https://gov-id-finder.codeforiati.org/countries/FR/,False
FR-INSEE,,,FR,http://www.insee.fr/fr/service/default.asp?page=entreprises/entreprise.htm,False
FR-RCS,,,FR,http://www.infogreffe.fr,False
GA-COA,,,GA,https://gov-id-finder.codeforiati.org/countries/GA/,False
GB-CASC,,,GB,https://github.com/ThreeSixtyGiving/cascs/blob/master/readme.md,True
GB-CHC,,,GB,https://www.gov.uk/government/organisations/charity-commission,True
GB-COA,,,GB,https://gov-id-finder.codeforiati.org/countries/GB/,False
GB-COE,,,GB,https://facultyonline.churchofengland.org/churches,True
GB-COH,,,GB,http://www.companieshouse.gov.uk/,True
GB-EDU,,,GB,https://get-information-schools.service.gov.uk,True
GB-GOR,,,GB,https://github.com/openregister/registers-data-archive,True
GB-GOV,,,GB,http://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies,False
GB-GOVUK,,,GB,https://www.gov.uk/government/organisations,False
GB-HESA,,,GB,https://www.hesa.ac.uk/support/providers,True
GB-IRN,,,GB,https://www.education-ni.gov.uk/services/schools-plus,True
GB-LAE,,,GB,https://local-authority-eng.register.gov.uk/records?page-index=1&page-size=5000,True
GB-LANI,,,GB,https://www.registers.service.gov.uk/registers/local-authority-nir,True
GB-LAS,,,GB,https://local-authority-sct.register.gov.uk/,True
GB-MPR,,,GB,https://mutuals.fca.org.uk/,True
GB-NHS,,,GB,https://digital.nhs.uk/organisation-data-service,True
GB-NIC,,,GB,http://www.charitycommissionni.org.uk/charity-search/,True
GB-PLA,,,GB,https://principal-local-authority.register.gov.uk/records,True
GB-REV,,,GB,http://www.hmrc.gov.uk/,False
GB-SC,,,GB,http://www.oscr.org.uk/,False
GB-SCOTEDU,,,GB,https://www2.gov.scot/Topics/Statistics/Browse/School-Education/Datasets/contactdetails,True
GB-SHPE,,,GB,https://social-housing-provider-eng.alpha.openregister.org/,True
GB-SRS,,,GB,https://supplierregistration.cabinetoffice.gov.uk/,True
GB-UKPRN,,,GB,https://www.ukrlp.co.uk/,False
GB-WALEDU,,,GB,https://gov.wales/address-list-schools,True
GD-COA,,,GD,https://gov-id-finder.codeforiati.org/countries/GD/,False
GE-COA,,,GE,https://gov-id-finder.codeforiati.org/countries/GE/,False
GE-NAPR,,,GE,https://enreg.reestri.gov.ge/main.php?m=new_index,False
GE-RS,,,GE,http://www.rs.ge/5385,True
GF-COA,,,GF,https://gov-id-finder.codeforiati.org/countries/GF/,False
GG-COA,,,GG,https://gov-id-finder.codeforiati.org/countries/GG/,False
GG-RCE,,,GG,http://www.guernseyregistry.com/,False
GH-COA,,,GH,https://gov-id-finder.codeforiati.org/countries/GH/,True
GH-DSW,,,GH,http://mogcsp.gov.gh/department-of-social-developments/,False
GH-RGD,,,GH,http://rgd.gov.gh/,True
GI-COA,,,GI,https://gov-id-finder.codeforiati.org/countries/GI/,False
GL-COA,,,GL,https://gov-id-finder.codeforiati.org/countries/GL/,False
GM-COA,,,GM,https://gov-id-finder.codeforiati.org/countries/GM/,True
GN-COA,,,GN,https://gov-id-finder.codeforiati.org/countries/GN/,True
GP-COA,,,GP,https://gov-id-finder.codeforiati.org/countries/GP/,False
GQ-COA,,,GQ,https://gov-id-finder.codeforiati.org/countries/GQ/,False
GR-COA,,,GR,https://gov-id-finder.codeforiati.org/countries/GR/,False
GS-COA,,,GS,https://gov-id-finder.codeforiati.org/countries/GS/,False
GT-CISP,,,GT,http://www.minfin.gob.gt/,True
GT-COA,,,GT,https://gov-id-finder.codeforiati.org/countries/GT/,False
GT-NIT,,,GT,https://portal.sat.gob.gt/portal/,True
GT-RPJ,,,GT,https://mingob.gob.gt/mingobsites/repeju/,True
GU-COA,,,GU,https://gov-id-finder.codeforiati.org/countries/GU/,False
GW-COA,,,GW,https://gov-id-finder.codeforiati.org/countries/GW/,True
GY-COA,,,GY,https://gov-id-finder.codeforiati.org/countries/GY/,False
HK-COA,,,HK,https://gov-id-finder.codeforiati.org/countries/HK/,False
HK-CR,,,HK,https://www.icris.cr.gov.hk/csci/,True
HM-COA,,,HM,https://gov-id-finder.codeforiati.org/countries/HM/,False
HN-COA,,,HN,https://gov-id-finder.codeforiati.org/countries/HN/,False
HN-RTN,,,HN,https://sde.gob.hn/registro-tributario-nacional-numerico-rtn/,True
HR-COA,,,HR,https://gov-id-finder.codeforiati.org/countries/HR/,False
HR-MBS,,,HR,https://sudreg.pravosudje.hr/registar,True
HR-OIB,,,HR,https://sudreg.pravosudje.hr/registar/f?p=150:1,True
HT-COA,,,HT,https://gov-id-finder.codeforiati.org/countries/HT/,True
HU-AFA,,,HU,http://www.e-cegjegyzek.hu/?cegkereses,True
HU-COA,,,HU,https://gov-id-finder.codeforiati.org/countries/HU/,False
ID-COA,,,ID,https://gov-id-finder.codeforiati.org/countries/ID/,True
ID-DJP,,,ID,http://ceknpwp.com/,True
ID-KDN,,,ID,http://www.kemendagri.go.id/,False
ID-KHH,,,ID,http://www.kemenkumham.go.id/,False
ID-KLN,,,ID,http://www.kemlu.go.id/,False
ID-PRO,,,ID,http://www.satulayanan.net/layanan/pendaftaran-lsm-atau-ormas/perizinan-lsm-atau-ormas-baru,False
ID-SMR,,,ID,http://www.smeru.or.id/en,False
IE-CHY,,,IE,https://www.charitiesregulatoryauthority.ie/,False
IE-COA,,,IE,https://gov-id-finder.codeforiati.org/countries/IE/,False
IE-CRO,,,IE,http://www.cro.ie/,False
IL-COA,,,IL,https://gov-id-finder.codeforiati.org/countries/IL/,False
IL-RA,,,IL,http://www.justice.gov.il/Units/RasutHataagidim/apps/Pages/RashamAmutot.aspx,True
IL-ROC,,,IL,http://www.justice.gov.il/Units/RasutHataagidim/units/RashamHachvarot/Pages/default.aspx,True
IM-COA,,,IM,https://gov-id-finder.codeforiati.org/countries/IM/,False
IM-CR,,,IM,https://www.gov.im/categories/business-and-industries/companies-registry,False
IM-GR,,,IM,http://www.gov.im/registries/courts/charities/,True
IN-COA,,,IN,https://gov-id-finder.codeforiati.org/countries/IN/,False
IN-MCA,,,IN,http://www.mca.gov.in/,True
IN-MHA,,,IN,https://fcraonline.nic.in/,False
IO-COA,,,IO,https://gov-id-finder.codeforiati.org/countries/IO/,False
IQ-COA,,,IQ,https://gov-id-finder.codeforiati.org/countries/IQ/,False
IQ-NGO,,,IQ,http://www.ngoao.gov.iq/,False
IR-COA,,,IR,https://gov-id-finder.codeforiati.org/countries/IR/,False
IS-COA,,,IS,https://gov-id-finder.codeforiati.org/countries/IS/,False
IS-KEN,,,IS,https://www.skra.is/,True
IT-CF,,,IT,http://www.registroimprese.it/,True
IT-COA,,,IT,https://gov-id-finder.codeforiati.org/countries/IT/,False
IT-CUUO,,,IT,https://www.indicepa.gov.it/ipa-portale/,True
IT-RI,,,IT,http://www.registroimprese.it/,True
JE-COA,,,JE,https://gov-id-finder.codeforiati.org/countries/JE/,False
JE-FSC,,,JE,http://www.jerseyfsc.org/index.asp,False
JE-JCR,,,JE,https://charitycommissioner.je/,True
JE-OAC,,,JE,http://www.jerseyoverseasaid.org.je/,False
JM-COA,,,JM,https://gov-id-finder.codeforiati.org/countries/JM/,True
JO-CCD,,,JO,http://www.ccd.gov.jo/,True
JO-COA,,,JO,https://gov-id-finder.codeforiati.org/countries/JO/,True
JO-MSD,,,JO,http://www.societies.gov.jo/,True
JP-COA,,,JP,https://gov-id-finder.codeforiati.org/countries/JP/,False
JP-JCN,,,JP,http://www.houjin-bangou.nta.go.jp/,True
